62	16382
70	17154
34	26078
97	15326
34	13275
94	39668
1	42
40	6720
94	65706
100	107700
1	42
73	65116
30	7408
52	21008
34	14199
1	42
61	33916
20	14120
98	97118
81	13770
90	32120
27	15903
44	33132
43	25628
66	10428
72	50665
73	21586
15	4755
22	11286
93	63519
1	42
29	18850
1	42
52	13260
106	40195
95	85582
72	42192
56	19732
65	67340
34	19210
42	16524
73	49686
36	26388
25	18850
59	39707
123	107752
1	42
121	77846
22	20548
30	18270
58	41139
68	60860
97	37578
53	56816
18	18266
123	69178
24	12240
27	22977
53	51886
1	42
101	60017
100	88600
1	42
96	59520
107	98034
82	79540
72	78264
73	48861
44	25784
57	20235
24	23640
66	32152
68	48008
79	46374
53	15476
83	39176
74	74283
53	56763
56	50904
2	84
40	21520
47	20774
62	27218
1	42
23	24840
1	42
73	53290
75	31350
3	878
75	46425
52	46809
79	21646
73	79278
90	28260
83	12342
40	22960
91	79807
1	42
95	76095
34	28900
22	7678
50	40908
75	80250
28	9996
145	110610
30	24840
79	28756
59	17287
1	42
59	51153
78	19734
47	11312
25	18500
167	132795
84	87358
28	28756
67	73030
98	98784
4	1890
22	13552
3	2151
23	15816
6	4830
121	83644
81	69012
46	49358
94	89058
85	70465
88	44934
24	24336
61	46909
30	12690
16	16976
71	64061
98	57008
47	44322
46	18768
86	82130
44	29612
99	59004
32	33792
2	84
23	25070
83	60590
60	39420
40	12040
16	4816
37	31191
61	61842
52	46095
26	15886
92	67308
95	60420
53	33231
63	57141
31	17205
2	84
83	24568
86	88752
85	90185
54	44928
86	32594
67	46968
91	79625
37	27294
64	41600
27	17550
96	67584
82	31834
42	8358
62	42315
72	44280
1	42
93	84537
58	64554
87	88131
35	14105
34	8194
86	32508
27	19828
1	42
23	3910
69	46023
43	19522
37	9953
79	48269
35	4972
54	15041
57	49362
20	17220
60	26520
23	17202
52	22100
25	9714
47	13818
56	18480
67	14807
41	43214
66	62897
78	51484
1	42
90	59040
1	42
60	10680
79	42423
30	20168
51	50541
68	11767
43	11825
1	42
31	29884
55	38170
35	13755
1	42
25	12675
73	27618
54	45360
54	34452
86	72670
1	42
65	9620
1	42
41	14760
69	74796
23	4992
87	66990
101	106142
50	44720
64	41968
1	42
83	72127
1	42
48	24864
30	22830
99	50094
75	45034
1	42
50	41450
76	33486
120	50946
58	32133
51	49470
165	158004
59	25724
1	42
75	17325
99	16996
65	71305
67	16817
49	46697
35	16872
71	28684
